name,norad_id,uplink,downlink,beacon,mode,callsign,satnogs_id
KSM1-C,46906,,401.120,,9600bps FSK,,ZQAV-4893-1919-8347-2035
KSM1-D,46907,,401.090,,9600bps FSK,,LQIA-1498-8400-4918-0119
K-HERO,66660,,437.180,,4800bps MSK,,
LAPAN-A2,40931,145.880/145.825,435.880/145.825,437.425,1k2*AFSK FM tone 88.5Hz,YBSAT YBOX,EEIT-0315-8565-1765-1994
LASARsat,,,436.925,436.925,9600bps GMSK CW,OK0LSR,
LEV-1,57800,,437.410,2212.000,CW,,OOWE-8073-4789-5817-7258
LilacSat-2,40908,145.825/145.875,144.390/437.225*,437.200,1k2/4k8*/9k6 FSK APRS FM,BJ1SI,AHVS-7983-8710-8819-8034
LO-74,39440,,437.445,,1k2AFSK 9k6FSK,CUBEB2,MRQX-2618-0103-4345-3937
LO-87,41557,,436.445,,9k6/19k2/40k0* GFSK,,WNZE-1061-4511-0110-9001
LO-90,42725,145.985,436.510,,9600bps BPSK FM,ON02CN,PEAF-6165-8245-0396-3965
Luca,67287,,437.180,,2k4*/4k8 GMSK_USP,RS90S,
LUNA-1,66777,,401.775,,9k6_GMSK,LUNA02-1,
MCubed-2,39472,,437.479,,9600bps GMSK,NOCALL,SSBD-3811-5706-8042-1219
MESAT-1,60209,145.910-145.940,435.810-435.840,435.800,1200bps BPSK SSB,,ANJN-0857-0652-4935-2307
Mice-1,66684,,401.500/2243.000,,4k8_GMSK FM,,
MIMAN,52900,,436.500,,2k4/4k8* FSK,,AOTT-8678-9365-5674-2308
Monitor-3,57180,,435.290,,4k8*/9k6 GMSK_USP,,KPMW-9188-6390-9743-3148
Monitor-4,57182,,436.080,,4k8*/9k6 GMSK_USP,,PJTC-6029-0615-1270-1207
Mordovia-IOT,61765,,437.100,,1143bps AFSK SSTV,RS50S,GAHV-9088-5977-7290-0624
MO-105,44832,,437.150,,12.5kbps GMSK,,NVJW-1778-4425-6707-0234
MO-110,47964,,437.345,437.345,2GMSK CW,,AGJP-1224-9255-0586-8359
MO-112,48868,145.9875,436.925,,9600bps GMSK,3B8MIR,VIIQ-5994-5073-6455-6748
MO-122,60209,145.910-145.940,435.810-435.840,435.800,1200bps BPSK SSB,,ANJN-0857-0652-4935-2307
