sat_id,norad_cat_id,norad_follow_id,name,names,image,status,decayed,launched,deployed,website,operator,countries,telemetries,updated,citation,is_frequency_violator,associated_satellites
VNQD-4337-5086-2269-0803,43157.0,,KEPLER-0,KIPP,satellites/kepler-1__2.jpg,alive,,2018-01-19T00:00:00Z,,,None,CA,[],2021-10-14T08:48:01.624994Z,VK5Q1 and SV1QVE survey,False,[]
IGHA-2738-1093-9388-1696,43729.0,,KEPLER-1,CASE,satellites/kepler-1__2_gJ143iD.jpg,alive,,2018-11-29T00:00:00Z,,,None,CA,[],2021-10-14T08:48:01.692768Z,VK5Q1 and SV1QVE survey,False,[]
VWHA-9593-2240-5566-2526,46319.0,,KEPLER-2,TARS,satellites/kepler-3__1.jpg,alive,,2020-09-03T00:00:00Z,,,None,CA,[],2021-10-14T08:48:01.865213Z,VK5Q1 and SV1QVE survey,False,[]
WXYU-9619-5599-7666-7257,43942.0,,LINGQUE 1A,,satellites/lingque-1__1.jpg,re-entered,2022-06-14T00:00:00Z,2019-01-21T00:00:00Z,,,None,CN,[],2022-06-17T23:04:34.565092Z,"spacet-rack.org DECAY_EPOCH message ""LINGQUE 1A"", ""43942"", ""2022-06-14 0:00:00""",False,[]
ZTQP-4601-1879-5083-5831,44391.0,,NSL-1,,satellites/nslsat-1__1.jpg,alive,,2019-07-05T00:00:00Z,,,None,IL,[],2021-10-14T08:48:01.804190Z,VK5Q1 and SV1QVE survey,False,[]
YFVN-7189-0329-6560-4690,43548.0,,RAINCUBE,Radar in a CubeSat,satellites/raincube__3.jpg,re-entered,2020-12-23T00:00:00Z,2018-05-21T00:00:00Z,,,None,US,[],2022-04-26T20:29:08.636740Z,VK5Q1 and SV1QVE survey,False,[]
CNKC-2118-9597-8621-1044,42783.0,,RED DIAMOND,,satellites/3-diamonds__1_zlD3Yoe.jpg,alive,,2017-06-23T00:00:00Z,,,None,"AU,IL,GB",[],2021-10-14T08:48:01.571954Z,VK5Q1 and SV1QVE survey,False,[]
KNTJ-0032-5210-8089-2604,43820.0,,SEAHAWK-1,,satellites/seahawk__2.jpg,alive,,2018-12-03T00:00:00Z,,,None,US,[],2021-10-14T08:48:01.741478Z,VK5Q1 and SV1QVE survey,False,[]
VZZJ-6189-7453-0598-5342,46810.0,,TIANQI-6,Tiange-6,satellites/tianqi-6__1.jpg,alive,,2020-10-26T00:00:00Z,,,None,CN,[],2021-10-14T08:48:01.881967Z,VK5Q1 and SV1QVE survey,False,[]
RPDQ-1197-8043-4841-1250,44349.0,,FORMOSAT 7-1,,satellites/formosat-7__2.jpg,alive,,2019-06-25T00:00:00Z,,,None,TW,[],2021-10-18T06:49:06.137161Z,VK5Q1 and SV1QVE survey,False,[]
IGQU-0723-5760-5778-6376,44351.0,,FORMOSAT 7-2,,satellites/formosat-7__2_JOdHYpU.jpg,alive,,2019-06-25T00:00:00Z,,,None,TW,[],2021-10-18T06:49:06.165802Z,VK5Q1 and SV1QVE survey,False,[]
MLXO-9148-9336-0001-6454,44343.0,,FORMOSAT 7-3,,satellites/formosat-7__2_fbgujrx.jpg,alive,,2019-06-25T00:00:00Z,,,None,TW,[],2021-10-18T06:49:06.105455Z,VK5Q1 and SV1QVE survey,False,[]
BQVP-8383-3071-1992-4107,44358.0,,FORMOSAT 7-5,,satellites/formosat-7__2_jYORPIC.jpg,alive,,2019-06-25T00:00:00Z,,,None,TW,[],2021-10-18T06:49:06.236076Z,VK5Q1 and SV1QVE survey,False,[]
UMBF-6004-4615-9338-8690,44353.0,,FORMOSAT 7-6,,satellites/formosat-7__2_PcwDITX.jpg,alive,,2019-06-25T00:00:00Z,,,None,TW,[],2021-10-18T06:49:06.197374Z,VK5Q1 and SV1QVE survey,False,[]
IKLV-9866-1078-6336-9032,47300.0,,ET-SMART-RSS,EthSat6U,satellites/et-smart-rss__1.jpg,alive,,2020-12-22T00:00:00Z,,,None,ET,[],2021-10-18T06:49:06.722762Z,VK5Q1 and SV1QVE survey,False,[]
HWJA-5362-4276-4299-5855,46294.0,,OSM-1 CICERO,TYVAK-0088,satellites/cicero__2_qpFfxvw.jpg,alive,,2020-09-03T00:00:00Z,,,None,ES,[],2021-10-18T06:49:06.487443Z,VK5Q1 and SV1QVE survey,False,[]
IVTQ-0231-5288-3838-4250,43144.0,,GeoStare,TYVAK-61C,satellites/geostare__1.jpg,alive,,2018-01-12T00:00:00Z,,,None,US,[],2021-10-18T06:49:06.021230Z,VK5Q1 and SV1QVE survey,False,[]
CPZL-6566-3229-0017-8907,44852.0,,NANOVA,Commtrail TYVAK-0092,satellites/nanova__1.jpg,alive,,2019-12-11T00:00:00Z,,,None,IL,[],2021-10-18T06:49:06.272957Z,VK5Q1 and SV1QVE survey,False,[]
CSAB-7366-4052-6327-2728,46295.0,,EG 2,TYVAK-0171 SIRION-2,satellites/Tyvak-0130.jpg,alive,,2020-09-03T00:00:00Z,,,None,"AU,US",[],2021-10-18T06:49:06.527214Z,VK5Q1 and SV1QVE survey,False,[]
CUNZ-9190-9607-5912-0167,46267.0,,EG 1,TYVAK-0172 SIRION-1,satellites/Tyvak-0130_7iss6iW.jpg,alive,,2020-08-30T00:00:00Z,,,None,"AU,US",[],2021-10-18T06:49:06.341142Z,VK5Q1 and SV1QVE survey,False,[]
MGPE-4382-7202-0468-3357,48892.0,,EG 3,Tyvak 0173 SIRION-3,satellites/Tyvak-0130_0yOmIl0.jpg,alive,,2021-06-30T00:00:00Z,,,None,"AU,US",[],2021-10-18T06:49:06.810681Z,https://space.skyrocket.de/doc_sdat/eg-1.htm,False,[]
MEKY-8319-6950-9473-3414,42835.0,,WNISAT 1R,Weather News Inc. Satellite 1R,satellites/wnisat-1r__1.jpg,alive,,2017-07-14T00:00:00Z,,,None,JP,[],2021-10-18T06:49:05.983011Z,VK5Q1 and SV1QVE survey,False,[]
UTVH-8269-9182-3451-8658,46284.0,,DIDO 3,,satellites/dido-3__1.jpg,alive,,2020-09-03T00:00:00Z,,,None,"IL,CH",[],2021-10-18T06:49:06.452045Z,VK5Q1 and SV1QVE survey,False,[]
VSTX-5196-9784-0975-3350,46279.0,,SIMBA,Sun-Earth Imbalance,satellites/simba__1.jpg,alive,,2020-09-03T00:00:00Z,,https://directory.eoportal.org/web/eoportal/satellite-missions/s/simba,None,BE,[],2022-07-08T01:01:11.515915Z,VK5Q1 and SV1QVE survey,False,[]
MPAB-6491-6577-2634-7004,46320.0,,NAPA-1,RTAF-SAT 1,satellites/rtaf-sat__1.jpg,alive,,2020-09-03T00:00:00Z,,,None,TH,[],2021-10-18T06:49:06.676574Z,VK5Q1 and SV1QVE survey,False,[]
ZNPK-3777-2526-2564-5280,46281.0,,PICASSO,PICASSO-BEL PICosatellite for Atmospheric and Space Science Observations,satellites/picasso__1.jpg,alive,,2020-09-03T00:00:00Z,,,None,BE,[],2021-10-18T06:49:06.416715Z,VK5Q1 and SV1QVE survey,False,[]
KPWM-1405-1959-6137-9344,44853.0,,Pathfinder Risk Reduction,TYVAK-0129 Pony Express 1,satellites/pathfinder-risk-reduction__1.jpg,alive,,2019-12-11T00:00:00Z,,,None,US,[],2021-10-18T06:49:06.311936Z,VK5Q1 and SV1QVE survey,False,[]
OOVQ-5223-4749-1162-3679,47541.0,,HIBER-4,,satellites/hiber-4__1.jpg,alive,,2021-01-24T00:00:00Z,,,None,NL,[],2021-10-18T06:49:06.769277Z,VK5Q1 and SV1QVE survey,False,[]
HTTH-0280-0621-1687-4733,47482.0,,NASA PTD-1,,satellites/ptd-1_integration_photo_2-evergreen_page.jpg,alive,,2021-01-24T00:00:00Z,,https://www.nasa.gov/directorates/spacetech/small_spacecraft/Pathfinder_Technology_Demonstrator/,None,US,[],2021-10-19T06:17:36.632785Z,https://github.com/EelkeVisser/strfdata/blob/main/frequencies.txt,False,[]
YRSX-0231-8133-3396-9379,47942.0,,HIBER-3,,satellites/hiber-4__1_xXAv3lX.jpg,alive,,2021-03-22T00:00:00Z,,,None,NL,[],2021-10-19T06:17:18.516268Z,Eelke Survey,False,[]
GEJQ-5981-2710-6410-2156,48963.0,,NAPA 2,RTAF-SAT 2,satellites/rtaf-sat__1_z41uRPS.jpg,alive,,2021-06-30T00:00:00Z,,,None,TH,[],2021-10-19T06:16:50.271907Z,Eelke Survey,False,['EDZR-8562-4228-2227-2229']
XWBU-3164-7370-7728-0313,48271.0,,ELO ALPHA,TYVAK-182A,satellites/elo__1.jpg,alive,,2021-04-29T00:00:00Z,,,None,FR,[],2021-10-21T07:29:24.638470Z,Eelke Survey,False,[]
KSSW-6265-7790-8248-7471,48606.0,,Tyvak 0130,2021-041BF,,alive,,2021-05-15T00:00:00Z,,,None,US,[],2023-01-08T10:04:14.364067Z,CITATIhttps://docs.google.com/document/d/1VA7X6fpsnE6rn1mm67zWjesv-TkVrHJ2Mu8IDwi0pK4/edit?usp=sharingON NEEDED - https://xkcd.com/285/,False,[]
HZZT-8310-6183-6672-9088,48872.0,,STORK-5,MARTA,satellites/stork-1__1.jpg,alive,,2021-06-30T00:00:00Z,,,None,PL,[],2021-10-20T17:24:43.998880Z,Eelke Survey,False,[]
IHTV-3923-1637-0884-7272,48907.0,,MANDRAKE 2 ABLE,,,alive,,2021-06-30T00:00:00Z,,,None,US,[],2023-01-15T23:12:33.742557Z,https://community.libre.space/t/strf-bandscan-results/9827/24,False,[]
IDJN-1803-0298-3518-0385,48962.0,,GHALIB,,satellites/ghalib__1.jpg,alive,,2021-06-30T00:00:00Z,,,None,AE,[],2021-10-21T07:28:30.305120Z,Eelke Survey,False,[]
KTGO-9559-9207-1146-9463,48908.0,,Mandrake 2B,MANDRAKE 2 BAKER,,alive,,2021-06-30T00:00:00Z,,,None,US,[],2021-10-24T10:21:57.008586Z,https://twitter.com/eelkevisser/status/1452181644417327104,False,[]
BEBH-6034-2662-4655-3216,47297.0,,Haisi 1,Hisea 1,satellites/haisi-1__2.jpg,alive,,2020-12-22T00:00:00Z,,,None,CN,[],2022-06-08T19:21:49.178002Z,Eelke Survey,False,[]
AXQA-7364-6026-4427-9296,48898.0,,CENTAURI-4,TYVAK-0211,satellites/centauri-3__1_iiDD1FY.jpg,alive,,2021-06-30T00:00:00Z,,,None,AU,[],2022-06-14T13:41:13.739195Z,Eelke Survey,False,[]
DUCU-0849-6302-0692-6552,48270.0,,AII-BRAVO,Bravo,satellites/charlie__1.jpg,alive,,2021-04-29T00:00:00Z,,,None,LT,[],2022-06-08T19:21:35.080132Z,Eelke Survey,False,[]
IIJF-3991-0816-8884-5091,48249.0,,Qilu 4,OBJECT B,satellites/foshan-1__1.jpg,alive,,2021-04-27T00:00:00Z,,,None,CN,[],2021-11-07T14:50:23.717900Z,Eelke Survey,False,[]
RJAD-6971-5705-5997-8587,48255.0,,Jin Zijing 1-02,OBJECT H,satellites/jinzijing-1__1.jpg,alive,,2021-04-27T00:00:00Z,,,None,CN,[],2021-11-07T14:49:56.661571Z,Eelke Survey,False,[]
XWPB-8152-0101-9678-1103,48256.0,,Taijing 2-01,OBJECT J,satellites/taijing-2-1__1_pqyLHHZ.jpg,alive,,2021-04-27T00:00:00Z,,,None,CN,[],2021-11-07T14:48:51.668065Z,Eelke Survey,False,[]
YBRO-8204-6716-8506-0909,44315.0,,Tianxiang-1,Zhongdian Wangtong 1A,,alive,,2019-06-05T00:00:00Z,,,None,CN,[],2022-06-10T11:26:05.721231Z,https://ucsusa.org/sites/default/files/2021-11/UCS%20Satellite%20Database-Officialname-9-1-21_0.txt,False,[]
XDQK-6481-9405-3267-7853,44840.0,,Tianyi-16,2019-087C - Unknown Satellite,,alive,,2019-12-07T00:00:00Z,,,None,CN,[],2022-09-10T20:17:38.916457Z,VK5Q1 and SV1QVE survey,False,[]
HCWT-8742-0349-4672-9376,44842.0,,2019-087E - Unknown Satellte,,,alive,,2019-12-07T00:00:00Z,,,None,CN,[],2022-08-02T18:40:03.021934Z,VK5Q1 and SV1QVE survey,False,[]
GZWQ-2610-2979-8757-6077,44488.0,,Xingshidai 5,,satellites/xingshidai-5__1.jpg,alive,,2019-08-17T00:00:00Z,,https://www.adaspace.com/,None,CN,[],2023-01-08T15:44:43.720650Z,https://ucsusa.org/sites/default/files/2021-11/UCS%20Satellite%20Database-Officialname-9-1-21_0.txt,False,[]
IBIG-4790-2209-6495-5567,44841.0,,Tianqi-4B,TQ 4B,satellites/tianqi-1__1_rKZFAwH.jpg,alive,,2019-12-07T00:00:00Z,,,None,CN,[],2022-06-05T08:55:16.934359Z,https://ucsusa.org/sites/default/files/2021-11/UCS%20Satellite%20Database-Officialname-9-1-21_0.txt,False,[]
ANWM-5538-6946-9678-3215,43837.0,,Ladybird 2,Piao chong 2 Elvis Presley,,alive,,2018-12-07T00:00:00Z,,,None,CN,[],2022-06-10T11:27:19.810652Z,https://ucsusa.org/sites/default/files/2021-11/UCS%20Satellite%20Database-Officialname-9-1-21_0.txt,False,[]
JYLB-3468-5688-9616-5775,44316.0,,2019-032G - Unknown Satellite,,,alive,,2019-06-05T00:00:00Z,,,None,CN,[],2022-08-02T18:44:43.696026Z,VK5Q1 and SV1QVE survey,False,[]
GWVB-9513-0570-9964-1549,43839.0,,Ladybird 4,Piao chong 4,,alive,,2018-12-07T00:00:00Z,,,None,CN,[],2022-06-10T11:26:40.212707Z,https://ucsusa.org/sites/default/files/2021-11/UCS%20Satellite%20Database-Officialname-9-1-21_0.txt,False,[]
UMCX-3971-5287-7241-1183,43838.0,,Ladybird 3,,,alive,,2018-07-12T00:00:00Z,,,None,CN,[],2023-01-05T08:32:15.400684Z,CITATION NEEDED - https://xkcd.com/285/,False,[]
