name,norad_id,uplink,downlink,beacon,mode,callsign,status,satnogs_id
Astrocast-0102,47488,,1.531GHz,,FM,,active,CMXD-4091-3803-4419-4347
Astrocast-0103,47487,,1.531GHz,,FM,,active,QJNL-5424-7348-8857-3059
Astrocast-0104,47519,,1.531GHz,,FM,,active,OEXL-4354-2785-0001-5027
Astrocast-0105,47517,,,,,,unknown,
Astrocast-0201,48954,,1.531GHz,,FM,,active,YSAD-0391-3129-9092-9760
Astrocast-0202,48961,,,,,,unknown,
Astrocast-0203,48955,,1.531GHz,,FM,,active,YSOP-1343-8549-9925-1699
Astrocast-0204,48952,,,,,,unknown,
Astrocast-0205,48960,,1.531GHz,,FM,,active,YHCV-5439-4218-0901-5637
Astrocast-0301,54370,,1.531GHz,,FM,,active,UMPB-4838-3573-4295-4716
Astrocast-0302,54369,,1.531GHz,,FM,,active,UBSL-9996-0697-6364-8541
Astrocast-0303,54368,,1.531GHz,,FM,,active,YVLW-7172-6368-8769-3972
Astrocast-0304,54367,,1.531GHz,,400bps QPSK,,active,TXDT-0013-3741-7488-5458
Astrocast-0401,55110,,,,,,unknown,
Astrocast-0402,55109,,,,,,unknown,
Astrocast-0403,55111,,,,,,unknown,
Astrocast-0404,55112,,,,,,unknown,
ASTROLAND-1,,145.875,436.888,436.888,1k2/2k4 AFSK FM APRS CW,AM2SAT,re-entered,
ASTROLAND-2,,145.925,436.666,436.666,1k2/2k4 AFSK FM APRS SSTV CW,AM3SAT,re-entered,
Athenoxat-1,41168,,437.485,437.485,2k4*GMSK 4k8*AFSK CW,ATX1,re-entered,VTHG-6292-4004-9767-5017
ATHER-1/2,,,,,,,unknown,
Atlantis,42737,,436.390,,9600bps GMSK,WD8DOX,re-entered,SNRU-8765-3595-7354-2501
ATL-1,44830,,437.175,,12.5kbps GMSK,,re-entered,ZYHY-4125-9970-1147-2424
AubieSat-1,37854,,437.475,,1200bps AFSK CW,,re-entered,
Aurora,48956,,400.500,,FM,,inactive,
AuroraSat,56312,,437.875/2428.000,,1k2/9k6 FSK,,re-entered,
AUTcube2,,,437.385,437.505,1k2AFSK 9k6FSK WSJT,JJ2YTA,unknown,
Avion-Kaluga-650,57195,,435.615/435.715,,9k6 DOKA,,unknown,RPCA-9898-4095-5229-9696
AzaadiSAT,,,437.400,,1200bps FSK SSTV LoRa,,re-entered,
AzaadiSAT-2,55563,,437.400,,1200bps FSK LoRa,AZDSAT,inactive,EKAM-8316-2757-5928-1987
AzTechSat-1,45261,,437.300,,9600bps GMSK/FSK,,re-entered,ABTK-2471-0556-6570-6819
A-SEANSAT-PG1,57197,,401.634,,2k4 GMSK_USP,ASAT1S,active,IKZL-1016-6920-2274-7552
BARRY-1,58338,,401.500/2245.000,,9600bps GMSK,B12,active,QDDY-8878-5291-1819-3935
BAMA-1,,,437.460,,2k4 2GFSK 38k4 4GFSK,,failure,
BCCSAT-1,48041,,435.635,435.635,4800bps GMSK CW,HS0W,re-entered,KOWU-1169-2090-1582-2115
BDSat,52175,,145.850/436.025*,436.025,9600*bps GFSK CW,OK0BDS,active,PPRG-8689-8762-8343-4648
BDSat-2,55098,,145.850/436.025,436.025,9600bps GFSK CW,OK0BDT,active,NJFB-9884-9643-7739-4519
BEAK,58612,,,,,,non-amateur,
BeaverCube,53770,,401.500,,FSK,,re-entered,
BeEagleSat,42736,,437.370,,9600bps GMSK,ON01TR,re-entered,NRSJ-0186-1878-6327-0190
BEESAT-1,35933,,436.000,,4k8/9k6 GMSK,DP0BEE,inactive,XFUT-4878-1223-5887-3249
BEESAT-2,39136,,435.950,435.950,4800bps GMSK CW,DP0BEF,re-entered,UTXU-4881-3195-9394-3367
BEESAT-3,39135,,435.950,435.950,4800bps GMSK CW,DP0BEG,re-entered,EALA-5296-4451-4316-5013
BEESAT-4,41619,,435.950,435.950,4800bps GMSK CW,DP0BEH,re-entered,BKDW-6357-9452-1063-8425
BEESAT-5,48083,,435.950,,4800bps GMSK,DB0BEI,re-entered,LWOS-0548-6434-8064-3287
BEESAT-6,48083,,435.950,,4800bps GMSK,DB0BEJ,re-entered,LWOS-0548-6434-8064-3287
BEESAT-7,48084,,435.950,,4800bps GMSK,DB0BEK,re-entered,QTXZ-9081-6898-5517-8758
BEESAT-8,48085,,435.950,,4800bps GMSK,DB0BEL,unknown,TPHU-3972-2762-2633-9121
BEESAT-9,44412,,435.950,,4k8*/9k6 GMSK,DP0BEM,re-entered,FVTP-0768-5406-9405-1618
BEESAT-10,,,435.950,,1200bps GMSK,,re-entered,
BEESAT-11,,,435.950,,1200bps GMSK,,re-entered,
BEESAT-12,,,435.950,,1200bps GMSK,,re-entered,
BEESAT-13,,,435.950,,1200bps GMSK,,re-entered,
BELIEFSAT-1,,435.825,145.825,,1200bps FM,,re-entered,
BELL,39142,,2401.200-2431.200,437.425,1200bps AFSK,KJ6KRW-1,re-entered,
Bevo-2,41314,,437.325,,38k4 FSK CW,,inactive,
BGS-ARPIT,62461,145.825,145.870,,1k2AFSK FM APRS SSTV,,unknown,
BHUTAN-1,43591,145.825,145.825/437.375,437.375,APRS Digipeater CW,JG6YKL,re-entered,XGQW-0108-4259-0432-9009
BhutanSat,54365,,435.080,,1200bps FSK,INDUSR,re-entered,EFIC-2341-1789-8177-9840
Binar-1,49272,435.810,435.810/437.292,,1k2/19k2GMSK,VK6BUS,re-entered,QAYP-4569-3720-3601-3180
Binar-2,60956,,437.700,437.700,1k2/9k6*/19k2/38k4 GFSK CW,,re-entered,FACZ-7987-8249-5385-5279
Binar-3,60957,,437.850,437.850,1k2/9k6*/19k2/38k4 GFSK CW,,re-entered,EHBA-7491-4486-7496-1223
Binar-4,60952,,437.925,437.925,1k2/9k6*/19k2/38k4 GFSK CW,,re-entered,WJHX-1326-6381-8250-7903
Bion-M1,39130,,,,,,non-amateur,
BIRD-B,42823,,437.375,437.372,1k2AFSK 9k6GMSK CW,JG6YJS,re-entered,JBXT-1713-9492-3951-4005
BIRD-G,42821,,437.375,437.372,1k2AFSK 9k6GMSK CW,JG6YJP,inactive,
BIRD-J,42820,,437.375,437.372,1k2AFSK 9k6GMSK CW,JG6YJO,re-entered,
BIRD-M,42822,,437.375,437.372,1k2AFSK 9k6GMSK CW,JG6YJQ,re-entered,BGMK-0175-7442-2160-6546
BIRD-N,42824,,437.375,437.372,1k2AFSK 9k6GMSK CW,JG6YJR,re-entered,
BIRD-BT,43591,145.825,145.825/437.375,437.375,APRS Digipeater CW,JG6YKL,re-entered,XGQW-0108-4259-0432-9009
BIRD-MY,43589,145.825,145.825/437.375,437.375,APRS Digipeater CW,JG6YKN,re-entered,AWFF-8025-3088-3256-6290
BIRD-PH,43590,145.825,145.825/437.375,437.375,APRS Digipeater CW,JG6YKM,re-entered,MWXV-7244-7952-4540-2800
BIRD-JPN,44330,,437.375,437.375,4800bps GMSK CW,JG6YLE,re-entered,OZTE-8267-1332-2799-5699
BIRD-LKA,44329,,437.375,437.375,4800bps GMSK CW,JG6YLG,re-entered,DAYF-8008-3500-7638-0985
BIRD-NPL,44331,,437.375,437.375,4800bps GMSK CW,JG6YLF,re-entered,NNNQ-5861-2134-5231-3624
BIRDS-4,47927,145.825,145.825,437.375,4k8*FSK APRS CW,JG6YMX,re-entered,SCFB-5106-8061-3969-1117
BIRDS-4,47929,145.825,145.825/437.375,37.375,4k8FSK APRS CW,JG6YMY,re-entered,RYZT-9821-8766-4438-4997
BIRDS-4,47931,145.825,145.825,437.375,1k2AFSK/4k8FSK APRS CW,JG6YMZ,re-entered,XGOP-6666-1396-1633-1810
BIRDS-5,54534,,145.825/435.375,435.375,4800bps GMSK APRS CW,,inactive,
BIRDS-5,54535,,145.825/435.375,435.375,4800bps GMSK APRS CW,,inactive,
BIRDS-5,54536,,145.825/435.375,435.375,4800bps GMSK APRS CW,,inactive,
BIROS,41604,,437.525,,4800bps GMSK,,inactive,JTIF-3701-4694-2586-3120
BisonSat,40974,,437.375,,9600bps GMSK,N7SKC,active,IGGV-1318-5974-9239-7350
Black Knight-1,39398,,437.345,,,,re-entered,BETY-3848-2495-6921-5325
Blue Diamond,42783,,401.150,,9600bps FSK,,active,CNKC-2118-9597-8621-1044
BlueBird-01,61047,,439.500,,2400bps GFSK,,unknown,XINJ-5605-6217-4155-4529
BlueBird-02,61048,,435.900,,2400bps GFSK,,unknown,GBZQ-8100-0439-9888-4769
BlueBird-03,61045,,434.100,,2400bps GFSK,,unknown,WFLL-5358-2469-8463-2991
BlueBird-04,61049,,432.300,,2400bps GFSK,,unknown,EXOH-8376-4648-5267-7738
BlueBird-05,61046,,430.500,,2400bps GFSK,,unknown,SXNP-3240-4340-9235-8383
BlueWalker-3,53807,,437.500/2210.000,,2k4*/9k6 FSK,,active,MMZL-7798-8557-0116-9958
Bobcat-1,46922,,436.600,,9k6/38k4/57k6* GMSK,BOBCAT-1,re-entered,RNBQ-9045-6623-3650-8949
BO-47,27422,,145.840,,400bps BPSK,,inactive,
BO-48,27422,,435.270,,400bps BPSK,,inactive,
BO-102,44443,145.900,435.690,435.715,V/U FM CW,,re-entered,LNZE-6831-5626-0234-4826
BRAC,42823,,437.375,437.372,1k2AFSK 9k6GMSK CW,JG6YJS,re-entered,JBXT-1713-9492-3951-4005
BRICSAT2,44355,28.120/145.825,145.825/435.350/437.605*,,1k2/9k6* FSK,USNAP1-1,re-entered,XWQN-8491-1910-3675-2960
BRICSAT-P,40655,28.120,435.350,437.975,9600bps FSK,BRCSAT,re-entered,KBEL-4970-7091-3600-7423
BRITE-AUSTRIA,39091,,145.890/437.365,2234.400,32Kbps-256Kbps BPSK,,inactive,XNCA-6781-8639-7113-1665
BRITE-PL,39431,,437.365/2234.400,145.890,32Kbps-256Kbps,,inactive,LSAZ-0698-4857-0580-9788
BRO-1,44495,,,,,,unknown,
BRO-2,46940,,,,,,re-entered,
BRO-3,46944,,,,,,re-entered,
BRO-4,49066,,401.735,,9600bps FSK,,active,KTHL-8173-4603-8149-6885
BRO-5,51061,,401.735,,4800bps FSK,,inactive,EAPL-5646-6568-7428-1685
BRO-6,52422,,401.735,,9600bps FSK,,active,FIRA-5450-5372-6155-3095
BRO-7,52174,,401.735,,9600bps FSK,,active,JCFO-8453-2271-5998-5795
BRO-8,55011,,401.735,,9600bps FSK,,active,RJCF-5779-9216-5641-4111
BRO-9,56185,,401.735,,4800bps FSK,,active,XFVV-4114-4685-9543-2674
BRO-10,58331,,401.735/2260.500,,9600bps FSK,,active,BISO-5259-3723-1730-8460
