satellite,number,uplink,downlink,beacon,mode,callsign
FossaSat-2E7,50991,,401.700,,9600bps GFSK 125k LoRa*,
FossaSat-2E8,50991,,401.700,,9600bps GFSK 125k LoRa*,
FossaSat-2E9,50991,,401.700,,9600bps GFSK 125k LoRa*,
FossaSat-2E10,50991,,401.700,,9600bps GFSK 125k LoRa*,
FossaSat-2E11,50991,,401.700,,9600bps GFSK 125k LoRa*,
FossaSat-2E12,50991,,401.700,,9600bps GFSK 125k LoRa*,
FossaSat-2E13,50991,,401.700,,9600bps GFSK 125k LoRa*,
Fox-1B (RadFxSat AO-91),43017,435.250,145.960,145.960,FM* CTCSS 67.0Hz/200bps DUV,
Fox-1C (Cliff AO-95),43770,435.300/1267.300,145.920,145.920,FM CTCSS 67.0Hz/200bps DUV*,
Fox-1D (AO-92),43137,435.350/1267.350,145.880,145.880,FM CTCSS 67.0Hz/200bps DUV,
Fox-1E (RadFXsat-2 AO-109),47311,145.860-145.890,435.790-435.760,435.750,1k2 BPSK SSB CW* FT4*,
FO-29 (JAS-2),24278,145.900-146.000,435.900-435.800,435.795,SSB* CW DigiTalker,
FO-99 (NEXUS),43937,145.900-145.930,435.910-435.880,435.900/437.075*,9k6/38k4FSK pi/4QPSK CW*,JS1YAV
FUNcube-1 (AO-73),39444,435.130-435.150,145.970-145.950,145.935,1200*bps BPSK SSB,
FUNcube-4,43792,,145.895,,1200bps BPSK,
FUNcube-5 (Nayif-1 EO-88),42017,435.015-435.045,145.990-145.960,145.940,1200bps BPSK SSB,
FUNcube-6 (JY1Sat JO-97),43803,435.100-435.120,145.875-145.855,145.840,SSB 1k2*BPSK CW,JY1SAT
FUTABA,53463,,437.375,437.375,1200bps AFSK CW,JG6YBW
Geoscan-Edelveis,53385,,436.200,,9600bps GFSK USP,RS20S
GOMX-1,39430,,437.250,437.250,1k2/2k4/4k8*/9k6GMSK CW,
GO-32 (TechSat-1B),25397,145.850/145.930,435.225/435.325*,,9600bps FSK,4XTECH-11 12
GRBALPHA,47959,145.905,437.025,437.025,9k6GFSK Digipeater CW,OM9GRB
GREENCUBE,53109,,435.310,,0k3/1k2*/2k4*/4k8/9k6 FSK,
Grizu-263A,51025,,435.675/437.190*,,2k4*/4k8 FSK,
HA-1 (Zhou Enlai Huai'An-1),43156,145.930,436.950,437.350/437.644*,FM 9600bps BPSK,BI4ST
Hirogari (OPUSAT-II),47930,436.500,145.900,145.900,1k2AFSK/9k6/13k6GMSK CW,JL3ZKS
HITOMI (PRISM),33493,,437.425,437.250,1k2AFSK 9k6GMSK CW*,JQ1YCX
HORYU-4,41340,,437.375/2400.300,437.375*,1k2 AFSK 9k6 GMSK S-BPSK CW*,JG6YBW
HO-68 (XW-1 CAS-1),36122,,,435.790,CW,BJ1SA
HO-113 (XW-3 CAS-9),50466,145.870,435.180,,VHF/UHF SSB*,
HO-113 (XW-3 CAS-9),50466,,,435.575,UHF CW*,
HO-113 (XW-3 CAS-9),50466,,435.725,,4k8*GMSK telemetry,CAS9
HSU-SAT1,53462,,437.280,437.280,1k2AFSK 9K6GMSK SSTV CW,JS1YHS
Humsat-D,39433,,437.325*/437.525,437.325,1200*bps MSK CW,HUMDE
InnoSat-2,43738,,435.500*/437.450,,4800bps GMSK,
INSPIREsat-1,51657,,437.500,,9600bps GFSK,BCT
INS-2TD,51658,,435.080,,1200bps FSK,INDUST-10
ION-MK01,46274,,437.515,,1200bps FSK,
ION-SCV 005,52163,,401.415,,1200bps FSK,
IO-86 (LAPAN-A2 ORARI),40931,145.880/145.825,435.880/145.825,437.425,FM tone 88.5Hz/APRS,YBSAT/YBOX-1
IRIS-A,51044,,435.575/436.915*,,9600*bps GMSK LoRa,BN0IOT
iSat (D-Star ONE),43879,437.325,435.525/435.700*,,4k8*/9k6 GMSK,DP2GOS
ISOI (SXC3-219 Medex),53381,,437.650,,2400bps GMSK USP,RS19S
ISS,25544,145.825,145.825,,1200bps AFSK,RS0ISS ARISS
ISS,25544,145.990,437.800,,FM* tone 67.0Hz 9k6*FSK,NA1SS
IT-SPINS,49017,,437.405,,19200bps GMSK,K7MSU
ITUpSat-1,35935,,437.325,437.325,19200bps GFSK CW*,ITUPSAT
JAGSAT-1,53771,,437.325,,9600bps 2GFSK,
JAS-2 (FO-29),24278,145.900-146.000,435.900-435.800,435.795,SSB* CW (DigiTalker),
JO-97 (JY1Sat FUNcube-6),43803,435.100-435.120,145.875-145.855,145.840,SSB* 1k2BPSK CW,JY1SAT
Juvenile-1F(Shaonian-Xing),43199,,,436.370,9600bps BPSK,MXSAT-1
JY1Sat (FUNcube-6 JO-97),43803,435.100-435.120,145.875-145.855,145.840,SSB 1k2*BPSK CW,JY1SAT
Kaidun-1,41915,,437.600,,1200bps BPSK,AXNWPU-4
KAITUO-1B (CAS-3G DCBB),40912,,145.475*/437.950,,9k6* GMSK,BJ1SH
KAI-1,53378,,435.665*/435.765,,1k2AFSK 2k4*FSK,RS26S
KAZSCISAT-1,43787,,435.500,,9600bps GMSK,
KITSUNE,52148,,437.375,400.960,4800*bps GMSK CW*,JG6YBW JG6YNH
KKS-1 (KISEKI),33499,,437.445,437.385,1200bps AFSK CW*,JQ1YYY
KOSEN-1,49402,,21.125-21.150,435.525,1k2AFSK/9k6FSK CW*,JR5YGJ
KSU-Cubesat,47954,,437.130,,4800bps GMSK,KSUC1
KUZBASS-300 (SXC3-218 KuzSTU),53375,,437.700,,2400bps GMSK USP,RS34S
LAPAN-A2 (ORARI IO-86),40931,145.880/145.825,435.880/145.825,437.425,1k2*AFSK FM tone 88.5Hz,YBSAT/YBOX-1
LEDSAT,49069,,435.190,,9600bps GMSK,
Light-1,51509,,437.710,,1k2 BPSK 2k4*GMSK,
LightSail-2,44420,,437.025,,9600bps GMSK,KK6HIT-10
LilacSat-2 (CAS-3H),40908,144.350/144.390,144.390/437.225*,437.200,1k2/4k8*/9k6 AFSK/GFSK,BJ1SI
LituanicaSAT-2 (LT01),42768,,437.265,,9600bps FSK,LY0LS
LO-74 (CubeBug-2),39440,,437.445,,1k2AFSK 9k6FSK,CUBEB2-6
LO-87 (NuSat-1),41557,,436.445,,9k6/19k2/40k0* GFSK,
LO-90 (LilacSat-1 CN02),42725,145.985,436.510,,9600bps BPSK FM,ON02CN
Lucky-7,44406,,437.525,,4k8*/9k6 GFSK,
LUME-1,43908,,437.060,,4800bps GMSK,
Max Valier Sat,42778,,145.860,145.960*/437.325,CW,II3MV
MCubed-2,39469,,437.479,,9600bps GMSK,NOCALL
MeznSat,46489,,436.600,,1k2/2k4/4k8* BPSK,A68MZ
MIET-AIS (SXC3-214),53377,,437.900,,2400bps GMSK USP,RS28S
MIMAN,52900,,436.500,,2400bps FSK,
MONITOR-1 (SXC3-212 MGU),53374,,437.550,,2400bps GMSK USP,RS32S
MOVE-2,43780,437.800,145.950,145.950,12k5 BPSK CW,DB0MVE
MO-105 (SMOG-P),44832,,437.150,,12.5kbps GMSK,
MO-110 (SMOG-1),47964,,437.345,437.345,2GMSK CW,
MO-112 (MIR-SAT1),48868,145.9875,436.925,,9600bps GMSK,3B8MIR
MXSAT-1(Shaonian-Xing Juvenile-1F),43199,,,436.370,9600bps BPSK,MXSAT-1
MYSAT-1,44045,,435.775,,1k2*/4k8/9k6 BPSK,A68MY
MYSAT-2 (DHABISAT),49017,,436.908,,1200bps BPSK,A68MX
M-Cubed,37855,,437.485,,9600bps GMSK,
NanosatC-Br2,47950,,145.865,,1k2*/2k4/4k8/9k6BPSK,NCBR2
Nayif-1 (FUNcube-5 EO-88),42017,435.015-435.045,145.990-145.960,145.940,1200*bps BPSK SSB,
NETSAT-1,46506,,435.600,,9600bps FSK,DP2NSA
NETSAT-2,46507,,435.600,,9600bps FSK,DP2NSB
NETSAT-3,46505,,435.600,,9600bps FSK,DP2NSC
NETSAT-4,46504,,435.600,,9600bps FSK,DP2NSD
NEXUS (FO-99),43937,145.900-145.930,435.910-435.880,435.900/437.075*,9k6/38k4FSK pi/4QPSK CW*,JS1YAV
Norbi,46494,,436.700,,9600bps FSK/250k_LoRa,CUBSAT
NO-44 (PCSAT-1),26931,145.827,145.827,,1200bps AFSK,(A) W3ADO-1
NO-44 (PCSAT-1),26931,435.250,145.827,,9600bps FSK,(A) PCSAT-1
NO-104 (PSAT-2),44354,28.120/145.825,145.825/435.350*/437.605,,1k2 SSTV* PSK31,
NO-116 (SanoSat-1),51031,,436.235,436.235,500*bps GFSK RTTY* CW,AM9NPQ
OPS-SAT,44878,,437.200,,9600bps GMSK,DP0OPS
ORBICRAFT-ZORKIY,47960,,437.850*/437.950/10465.000,,2k4/9k6*FSK DVB-S2,RS15S
OreSat-0,52017,,436.500/2425.000,436.500,9k6FSK 96kGMSK 1M_DPSK CW,KJ7SAT
Painani-1,44365,,437.475,,9600bps GMSK,SPACE
Painani-2,48942,,437.475/2410.300,,9600bps GMSK,
PCSAT-1 (NO-44),26931,145.827,145.827,,1200bps AFSK,(A) W3ADO-1
Phase-4A (Es'Hail-2 QO-100),43700,2400.050-2400.300,10489.550-10489.800,,Linear  transponder,
PicSat,43132,145.910,435.525,,1k2*/9k6 BPSK FM,PICSAT-2
PLANETUM-1,52738,145.925,436.680,436.680,9k6*GFSK CW Digipeater,
PlantSat,52188,,437.240,,4800bps FSK,
PLATFORM-1,52770,,400.360,,4k8*/9k6 GFSK,SS2141
PolyITAN-1,40042,,437.677,437.677,9600*bps BFSK CW,EM0UKP
PO-101 (Diwata-2),43678,437.500,145.900,145.900,FM* tone 141.3Hz CW,D1W2PH
PRISM (HITOMI),33493,,437.425,437.250,1k2AFSK 9k6GMSK CW*,JQ1YCX
PSAT-2 (NO-104),44354,29.350/145.825,145.825/435.350*/437.605,,1k2 SSTV* PSK31,
QO-100 (Phase-4A Es'Hail-2),43700,2400.050-2400.300,10489.550-10489.800,,Linear  transponder,
RadFxSat (Fox-1B AO-91),43017,435.250,145.960,145.960,FM* CTCSS 67.0Hz/200bps DUV,
RadFXsat-2 (Fox-1E AO-109),47311,145.860-145.890,435.790-435.760,435.750,1k2 BPSK SSB CW* FT4*,
RANDEV,52898,,436.030,,1k2*/9k6 BPSK,RANDEV
Reaktor Hello World,43743,,437.775/2410.000,437.775,9k6* 2GFSK/1MbpsMSK CW*,OH2RHW1
RESHUCUBE (SXC3-2111 SibSU),53382,,435.380,,2400bps GMSK USP,RS8S
ROBUSTA-1B,42792,,437.325,437.325,1200bps AFSK CW,FX6FR
ROBUSTA-1D (CELESTA),53111,,436.500,,1k2AFSK 2k4*/9k6GMSK,FX6FRB
SALSAT,46495,,435.900/435.950,,1200bps AFSK,
SanoSat-1 (NO-116),51031,,436.235,436.235,500*bps GFSK RTTY* CW,AM9NPQ
SaudiSat-1C (SO-50),27607,145.850,436.795,,FM* tone 67.0Hz,
SEEDS-II (CO-66),32791,,437.485,437.485,1k2AFSK CW* DigiTalker,JQ1YGU
SelfieSat,53951,,437.500,,9600bps 2FSK,WJ2XOX
Shaonian-Xing(Juvenile-1F),43199,,,436.370,9600bps BPSK,MXSAT-1
Siren (SXC3-217),53384,,437.750,,2400bps GMSK USP,RS30S
Skoltech-B1,53379,,435.000*/435.600,,9600bps GMSK USP,R0AJU-1
Skoltech-B2,53380,,435.000*/435.600,,9600bps GMSK USP,R0AJU-1
SMOG-1 (MO-110),47964,,437.345,437.345,2GMSK CW,
SMOG-P (MO-105),44832,,437.150,,12.5kbps GMSK,
Sokrat,44404,,436.000,,4800bps mobitex GMSK,
SOMP,39134,,437.485,437.503,1200bps AFSK CW*,DP0TUD
SOMP-2B,47445,,435.600,,9600bps GMSK,DP2TUD
SO-50 (SaudiSat-1C),27607,145.850,436.795,,FM* tone 67.0Hz,
SO-114 (EASAT-2),51081,145.875,436.666,436.666,1k2/2k4 AFSK APRS FM CW*,AM5SAT
Sparrow (D-Star ONE),43881,437.325,435.525/435.700*,,4k8*/9k6 GMSK,DP1GOS
SPROUT,39770,,437.525,437.525,1k2AFSK 9k6GMSK CW*,JQ1ZJQ
STARS (KUKAI mother),33498,,437.485,437.305,1200bps FM CW*,JR5YBN
STARS (KUKAI daughter),33498,,437.465,437.275,1200bps FM CW*,JR5YBO
STEP CubeLab (STEP-1),43138,,437.485,437.485,9600bps FSK CW*,
STEP CubeLab-II,52897,,437.485,,9600bps GMSK,STEP2
STRaND-1,39090,,437.568,,9600bps GMSK,
SUCHAI,42788,,437.225,437.229,CW,SUCHAI
SUCHAI-2,52192,,437.230,,4800bps FSK,
SUCHAI-3,52191,,437.250,,4800bps FSK,
Suomi-100,43804,,437.775/2410.000,,9600bps GMSK,
SWSU-55 No3 (SWGU No7),53309,,437.050/437.075,,1k145 AFSK SSTV AUDIO,RS1S
SWSU-55 No5 (SWGU No9),53308,,437.050/437.100,,1k145 AFSK SSTV AUDIO,RS3S
SWSU-55 No6 (SWGU No10),53321,,437.050/437.087,,1k145 AFSK SSTV AUDIO,RS4S
SWSU-55 No7 (SWGU No11),53310,,437.050/437.1125,,1k145 AFSK SSTV AUDIO,RS5S
SWSU-55 No8 (SWGU No12),53311,,437.050/437.000,,1k145 AFSK SSTV AUDIO,RS6S
SXC3-212 (MGU MONITOR-1),53374,,437.550,,2400bps GMSK USP,RS32S
SXC3-213 (HSE-AIS CubeSX-HSE-2),53383,,435.570,,2400bps GMSK USP,RS21S
SXC3-214 (MIET-AIS),53377,,437.900,,2400bps GMSK USP,RS28S
SXC3-215 (Vizard),53386,,437.800,,2400bps GMSK USP,RS33S
SXC3-216 (UTMN),53376,,435.670,,2400bps GMSK USP,RS23S
SXC3-217 (Siren),53384,,437.750,,2400bps GMSK USP,RS30S
SXC3-218 (KuzSTU KUZBASS-300),53375,,437.700,,2400bps GMSK USP,RS34S
SXC3-219 (Medex ISOI),53381,,437.650,,2400bps GMSK USP,RS19S
SXC3-2110 (Voenmeh),53373,,436.050,,2400bps GMSK USP,RS29S
SXC3-2111 (SibSU RESHUCUBE),53382,,435.380,,2400bps GMSK USP,RS8S
TBEx-A,44356,,437.485,,9600bps GMSK,KF6RFX
TBEx-B,44359,,437.485,,9600bps GMSK,KF6RFX
TechSat-1B (GO-32),25397,145.850/145.930,435.225*/435.325,,9600bps FSK,4XTECH-11 12
TeikyoSat-4,49396,,437.450/5831.000,437.450,1k2AFSK/9k6GMSK/115k2FSK CW*,JS1YHH
Tevel-1,51013,145.970,436.400,,9600bps BPSK FM,T1OFK
Tevel-2,51069,145.970,436.400,,9600bps BPSK FM,T2YRC
Tevel-3,50988,145.970,436.400,,9600bps BPSK FM,T3TYB
Tevel-4,51063,145.970,436.400,,9600bps BPSK FM,T4ATA
Tevel-5,50998,145.970,436.400,,9600bps BPSK FM,T5SNG
Tevel-6,50999,145.970,436.400,,9600bps BPSK FM,T6NZR
Tevel-7,51062,145.970,436.400,,9600bps BPSK FM,T7ADM
Tevel-8,50989,145.970,436.400,,9600bps BPSK FM,T8GBS
Tianwang-1A (TW-1A SECM-1),40928,,435.645,,4k8*/9k6 GMSK,
Tianwang-1C (TW-1C NJFA-1),40926,,435.645,,4k8*/9k6 GMSK,
Tianyi-2 (TY-2 Xiaoxiang-2),43155,435.350/2403.000/5653.000,435.350*/2403.000/5833.000,,9k6 GMSK/5Mbps OFDM,
Tianyi-4 (TY-4 Xiaoxiang-4),43669,435.925/2409.000/5659.000,435.925*/2409.000/5839.000,,9k6 GMSK/5Mbps OFDM,
TigriSat,40043,,435.000,,9600bps FSK,HNATIG
TO-108 (CAS-6 TIANQIN-1),44881,435.270-435.290,145.935-145.915,,SSB*,
TRSI-2,52419,,437.075,,2400bps BPSK,
TRSI-3,52420,,437.075,437.075,MFSK CW,
Tsiolkovsky_Ryazan-1,53312,,437.050/437.025,,1k145 AFSK SSTV AUDIO,RS9S
Tsiolkovsky_Ryazan-2,53313,,437.050/437.0125,,1k145 AFSK SSTV AUDIO,RS12S
TTU100,46312,,435.450*/10465.000,ES1WS,9k6* FSK/GMSK/MSK/OQPSK,
